name,description,category,image,prefecture,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,青森県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,岩手県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,宮城県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,秋田県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,山形県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,福島県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,茨城県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,栃木県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,群馬県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,埼玉県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,千葉県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,東京都,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,神奈川県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,新潟県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,富山県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,石川県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,福井県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,山梨県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,長野県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,岐阜県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,静岡県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,愛知県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,三重県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,滋賀県,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,京都府,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,大阪府,,
ニホンカワウソ,かつて日本各地の河川や沿岸に生息していたイタチ科の哺乳類である。魚を主食とし、水辺の生態系で重要な役割を担っていたが、乱獲や水質汚染により激減し、1979年を最後に姿を消した。2012年に絶滅種と認定された,other,images/nippon-kawauso.jpg,兵庫県,,
